name,age,bp,position,height,weight,foot,growth,value,wage,release_clause,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,total_stats,base_stats,w/f,sm,a/w,d/w,ir,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova
Rhayner,29,RM,RM,172.72,63.45,Right,0,1000000.0,6000,1300000.0,57,58,58,60,63.0,74,70.0,62,58,70,94,93,85.0,60,76.0,68,84.0,75,54,60,70,41.0,63.0,62.0,54,69.0,38,38,32.0,8,16,12,7,12,1832,391,3,4,High,Medium,1,93,61,60,73,40,64,8,65,65,65,69,68,68,68,69,67,67,67,68,61,61,61,68,57,53,53,53,57,55,50,50,50,55,16,69
C. Morrison,19,RM,RM RW LM,177.8,73.35000000000001,Right,10,575000.0,2000,1100000.0,62,46,27,56,43.0,69,39.0,33,57,67,84,72,79.0,46,78.0,51,30.0,68,51,38,33,47.0,63.0,46.0,45,52.0,52,42,38.0,6,13,12,5,13,1511,340,3,3,High,Medium,1,77,46,53,69,44,51,3,54,54,54,61,58,58,58,61,59,59,59,62,56,56,56,62,56,51,51,51,56,53,45,45,45,53,13,63
Y. Sugita,27,RW,RW LW,165.1,64.35000000000001,Right,0,800000.0,2000,1000000.0,69,63,36,63,53.0,68,65.0,40,48,68,80,86,87.0,58,80.0,57,80.0,72,36,60,38,27.0,59.0,61.0,47,53.0,33,29,25.0,15,12,9,5,14,1643,352,4,3,High,Medium,1,83,60,61,70,30,48,7,60,60,60,67,64,64,64,67,65,65,65,66,58,58,58,66,54,46,46,46,54,50,38,38,38,50,16,67
D. Parrett,27,CM,CM CDM RM,177.8,85.5,Right,0,300000.0,3000,525000.0,54,53,48,63,56.0,60,65.0,63,64,64,61,69,73.0,47,76.0,65,67.0,75,59,63,49,44.0,59.0,65.0,59,58.0,52,48,45.0,14,9,14,9,11,1723,357,3,2,Medium,Low,1,65,58,62,63,48,61,3,58,58,58,60,60,60,60,60,61,61,61,61,61,61,61,61,56,56,56,56,56,54,51,51,51,54,15,62
A. Quintana,25,GK,GK,195.57999999999998,89.10000000000001,Left,5,250000.0,750,369000.0,10,9,14,17,8.0,9,13.0,14,23,17,22,23,22.0,57,23.0,41,40.0,23,70,8,19,11.0,6.0,34.0,13,39.0,28,11,13.0,62,59,55,61,62,897,322,2,1,Medium,Medium,1,62,59,55,62,23,61,11,22,22,22,18,20,20,20,18,20,20,20,19,21,21,21,19,19,23,23,23,19,20,24,24,24,20,60,61
J. Fuchs,22,CDM,CM CDM,175.26,69.3,Right,8,1500000.0,9000,3500000.0,43,52,48,75,37.0,63,42.0,35,73,70,78,78,84.0,67,79.0,62,75.0,69,72,48,54,68.0,67.0,66.0,45,58.0,72,76,57.0,7,15,9,14,16,1816,399,3,2,Medium,High,1,78,53,63,68,69,68,25,62,62,62,65,66,66,66,65,68,68,68,66,69,69,69,66,66,70,70,70,66,66,67,67,67,66,19,69
R. Clampin,21,LB,LB,180.34,69.3,Left,11,325000.0,2000,634000.0,57,41,44,51,30.0,56,43.0,32,42,54,78,82,67.0,50,78.0,49,56.0,71,60,33,53,50.0,46.0,43.0,40,53.0,57,59,53.0,10,9,7,7,8,1516,342,3,2,High,Medium,1,80,41,48,57,55,61,9,50,50,50,54,52,52,52,54,51,51,51,55,50,50,50,55,58,53,53,53,58,58,54,54,54,58,13,60
A. Long,19,CB,CB,182.88,75.60000000000001,Right,18,160000.0,500,380000.0,35,19,52,52,24.0,45,29.0,29,48,48,57,56,46.0,53,57.0,42,65.0,53,68,25,50,54.0,29.0,40.0,32,48.0,55,56,55.0,13,13,7,11,7,1325,288,3,2,Medium,High,1,56,26,43,47,55,61,6,41,41,41,42,42,42,42,42,43,43,43,45,46,46,46,45,51,53,53,53,51,52,55,55,55,52,15,55
J. Meier,20,LB,LB,180.34,74.25,Left,13,525000.0,1000,0.0,55,49,53,48,38.0,54,43.0,39,41,50,61,65,68.0,62,67.0,38,60.0,64,63,37,62,58.0,48.0,45.0,33,44.0,59,65,66.0,6,10,10,15,14,1546,332,3,2,Medium,Medium,1,63,43,47,55,61,63,10,51,51,51,53,51,51,51,53,51,51,51,53,50,50,50,53,59,56,56,56,59,60,60,60,60,60,17,62
R. McKinley,18,CAM,CM,177.8,73.35000000000001,Right,18,60000.0,500,131000.0,30,34,43,54,39.0,43,39.0,31,47,47,59,66,51.0,47,67.0,45,52.0,50,54,41,56,42.0,47.0,43.0,42,43.0,33,43,45.0,13,12,6,6,11,1338,285,2,2,Medium,Medium,1,63,39,44,46,40,53,9,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,45,46,46,46,45,46,45,45,45,46,14,47
C. Wondolowski,37,ST,ST,182.88,76.5,Right,0,325000.0,3000,471000.0,54,75,70,61,70.0,61,60.0,52,46,62,37,42,52.0,80,56.0,71,62.0,73,64,60,67,46.0,83.0,61.0,71,73.0,49,40,33.0,8,16,10,13,8,1713,342,4,2,High,High,1,40,71,57,61,46,67,17,68,68,68,62,66,66,66,62,63,63,63,61,61,61,61,61,53,55,55,55,53,52,53,53,53,52,19,68
F. Balmont,39,CDM,,167.64000000000001,71.55,Right,0,220000.0,4000,440000.0,68,61,49,73,58.0,64,64.0,69,70,70,33,33,46.0,71,78.0,71,34.0,33,57,67,80,76.0,62.0,68.0,60,71.0,71,74,69.0,6,11,7,14,16,1783,357,3,3,Medium,Medium,2,33,64,70,65,71,54,3,61,61,61,62,63,63,63,62,65,65,65,61,67,67,67,61,64,70,70,70,64,63,67,67,67,63,18,68
D. Toköz,24,CDM,CDM CM,180.34,74.25,Right,5,4900000.0,36000,10200000.0,58,62,62,76,59.0,72,61.0,42,70,68,74,69,69.0,69,70.0,77,66.0,63,74,65,75,75.0,63.0,60.0,50,70.0,73,72,77.0,8,10,10,15,12,1926,415,3,3,High,Medium,1,71,65,66,70,72,71,28,68,68,68,67,68,68,68,67,68,68,68,68,69,69,69,68,70,72,72,72,70,70,72,72,72,70,18,73
Diego González,25,CB,CB LB,185.42,82.35000000000001,Left,6,1300000.0,5000,2300000.0,71,25,69,64,33.0,59,59.0,34,65,61,66,67,66.0,64,45.0,42,74.0,70,77,34,70,67.0,45.0,42.0,42,67.0,72,69,70.0,7,7,8,8,12,1664,362,3,2,Medium,Medium,1,67,32,59,60,70,74,28,52,52,52,56,52,52,52,56,54,54,54,59,58,58,58,59,67,66,66,66,67,68,69,69,69,68,15,69
A. Frei,32,ST,,180.34,73.35000000000001,Right,0,2800000.0,40000,0.0,64,85,71,76,70.0,71,85.0,86,69,75,67,69,71.0,79,73.0,79,75.0,71,73,72,76,41.0,77.0,76.0,88,,23,38,20.0,11,14,11,11,10,1977,404,4,3,High,Medium,3,68,80,74,73,36,73,3,76,76,76,72,76,76,76,72,75,75,75,72,69,69,69,72,56,61,61,61,56,53,50,50,50,53,16,77
A. Madu,26,CB,CB,185.42,85.5,Left,3,725000.0,9000,1300000.0,42,22,69,52,28.0,29,26.0,21,39,53,39,43,32.0,58,49.0,39,75.0,67,85,17,68,62.0,24.0,35.0,55,53.0,66,68,59.0,11,13,6,8,8,1368,290,3,2,Low,Medium,1,41,26,42,39,65,77,4,41,41,41,38,38,38,38,38,39,39,39,42,46,46,46,42,55,58,58,58,55,57,66,66,66,57,15,66
G. Noguera,27,CB,RB,175.26,74.25,Right,0,110000.0,3000,0.0,42,35,49,29,34.0,66,40.0,37,34,39,67,58,52.0,56,73.0,29,58.0,60,56,35,60,58.0,43.0,44.0,46,,66,77,75.0,12,13,12,7,13,1475,314,3,2,Low,Medium,1,62,35,36,56,67,58,3,44,44,44,47,46,46,46,47,45,45,45,48,45,45,45,48,56,53,53,53,56,58,61,61,61,58,16,58
Daniel Carriço,31,CB,CB,180.34,79.2,Right,0,5500000.0,12000,8500000.0,61,48,73,75,47.0,58,39.0,54,75,64,34,40,58.0,71,66.0,66,84.0,53,77,50,85,76.0,57.0,62.0,62,73.0,79,78,79.0,14,10,15,15,12,1837,369,3,2,Medium,Medium,2,37,53,67,61,78,73,14,59,59,59,58,59,59,59,58,61,61,61,59,67,67,67,59,67,73,73,73,67,68,76,76,76,68,19,76
B. Sekulić,28,RB,RB,187.96,72.45,Right,0,550000.0,3000,825000.0,61,29,58,62,26.0,60,49.0,30,54,63,71,66,57.0,64,66.0,29,70.0,65,69,31,63,64.0,53.0,52.0,46,62.0,62,66,64.0,12,13,9,7,12,1603,346,2,2,Medium,High,1,68,31,56,61,63,67,7,51,51,51,57,54,54,54,57,56,56,56,59,58,58,58,59,64,62,62,62,64,64,64,64,64,64,17,66
D. Van Buyten,35,CB,CB,198.12,94.05,Right,0,650000.0,70000,0.0,37,55,91,63,39.0,30,31.0,35,52,49,31,27,25.0,75,30.0,84,31.0,55,94,45,88,72.0,58.0,44.0,52,,78,83,70.0,13,10,6,10,12,1575,332,2,2,Medium,Medium,3,29,58,49,37,79,80,4,59,59,59,44,56,56,56,44,52,52,52,46,56,56,56,46,60,67,67,67,60,68,77,77,77,68,15,78
Shikabala,33,LW,,182.88,73.35000000000001,Left,0,0.0,0,0.0,72,68,43,68,75.0,79,74.0,72,71,76,72,75,73.0,67,70.0,78,54.0,69,65,75,34,29.0,67.0,70.0,69,70.0,38,34,35.0,6,10,16,8,13,1825,386,3,5,Medium,Medium,1,74,72,70,76,35,59,3,69,69,69,72,72,72,72,72,72,72,72,72,67,67,67,72,57,53,53,53,57,53,44,44,44,53,16,72
L. Soldini,19,GK,GK,177.8,68.4,Right,20,120000.0,500,294000.0,15,8,12,20,9.0,6,12.0,12,18,12,36,28,28.0,39,45.0,44,57.0,26,46,7,26,10.0,6.0,38.0,11,32.0,9,11,10.0,56,58,58,49,55,877,308,2,1,Medium,Medium,1,56,58,58,55,32,49,6,19,19,19,17,19,19,19,17,19,19,19,19,19,19,19,19,18,19,19,19,18,18,19,19,19,18,53,54
Mikel Iribas,32,RB,RB,182.88,77.4,Right,0,550000.0,3000,853000.0,72,47,55,64,38.0,62,69.0,63,54,62,72,73,60.0,70,63.0,68,63.0,80,70,59,79,59.0,50.0,52.0,46,65.0,63,64,65.0,11,15,9,8,13,1798,386,3,2,High,Medium,1,73,53,62,62,62,74,4,59,59,59,62,60,60,60,62,60,60,60,63,61,61,61,63,67,64,64,64,67,66,64,64,64,66,18,68
A. Kann,29,GK,GK,193.04,85.5,Left,0,325000.0,2000,488000.0,13,12,18,27,19.0,12,18.0,12,32,20,42,44,30.0,62,41.0,47,61.0,42,75,15,30,24.0,17.0,54.0,21,46.0,10,13,17.0,64,62,62,66,62,1144,359,3,1,Medium,Medium,1,64,62,62,62,43,66,3,28,28,28,26,28,28,28,26,29,29,29,28,31,31,31,28,26,29,29,29,26,26,28,28,28,26,63,64
M. Ratajczak,38,GK,,187.96,84.15,Right,0,35000.0,3000,56000.0,15,12,20,24,12.0,13,14.0,11,23,22,40,47,38.0,66,31.0,26,64.0,30,71,13,37,16.0,14.0,28.0,22,40.0,16,11,11.0,62,64,35,64,64,1036,333,3,1,Medium,Medium,1,62,64,35,64,44,64,3,26,26,26,25,25,25,25,25,25,25,25,26,25,25,25,26,24,26,26,26,24,24,27,27,27,24,62,63
C. Oxlade-Chamberlain,20,RM,RB CM CDM,187.96,64.35000000000001,Right,13,140000.0,2000,356000.0,43,40,45,58,32.0,50,40.0,35,54,55,75,79,62.0,50,52.0,51,59.0,75,69,46,43,48.0,47.0,48.0,38,42.0,42,52,47.0,5,7,12,10,9,1478,335,3,2,High,Medium,1,77,43,50,53,47,65,3,51,51,51,53,52,52,52,53,53,53,53,55,53,53,53,55,55,53,53,53,55,54,51,51,51,54,13,55
P. Pellegri,19,ST,ST,187.96,79.2,Right,8,925000.0,8000,1900000.0,50,70,59,61,56.0,68,42.0,45,50,68,59,68,61.0,63,47.0,65,63.0,55,71,58,46,18.0,70.0,55.0,59,65.0,19,12,15.0,7,14,6,8,14,1522,331,3,3,Medium,Medium,1,64,65,54,66,20,62,96,66,66,66,64,65,65,65,64,63,63,63,62,56,56,56,62,43,42,42,42,43,40,37,37,37,40,16,66
M. Prietl,28,CDM,CDM CM CB,187.96,78.3,Right,0,5000000.0,21000,9000000.0,46,49,58,74,35.0,64,47.0,42,65,72,63,66,63.0,71,63.0,53,53.0,92,76,56,77,73.0,57.0,65.0,44,71.0,74,73,72.0,12,12,10,8,13,1798,396,3,2,Medium,High,1,65,51,62,67,72,79,16,60,60,60,63,63,63,63,63,65,65,65,65,69,69,69,65,70,73,73,73,70,70,71,71,71,70,18,74
B. Tekpetey,21,RM,RM ST LM,172.72,68.4,Right,8,4600000.0,16000,0.0,61,64,48,68,57.0,77,48.0,42,57,73,87,91,86.0,70,86.0,74,61.0,68,65,60,42,21.0,69.0,64.0,50,54.0,28,29,35.0,14,13,7,14,10,1739,383,4,3,High,Medium,1,89,64,62,77,30,61,11,69,69,69,72,71,71,71,72,70,70,70,71,63,63,63,71,55,49,49,49,55,52,43,43,43,52,19,72
Álex Martín,22,CB,CB,182.88,77.4,Right,12,750000.0,2000,1300000.0,45,31,65,64,23.0,22,35.0,48,58,62,57,53,59.0,60,58.0,48,70.0,60,67,61,62,63.0,13.0,28.0,42,55.0,61,67,62.0,7,12,5,8,5,1481,314,3,2,Medium,Medium,1,55,40,50,41,64,64,6,45,45,45,44,43,43,43,44,45,45,45,45,51,51,51,45,58,61,61,61,58,60,64,64,64,60,14,64
O. Bekar,19,RM,RM,175.26,64.35000000000001,Right,13,300000.0,1000,623000.0,58,51,45,60,51.0,62,52.0,55,54,60,73,69,78.0,46,83.0,55,69.0,44,41,56,32,23.0,52.0,49.0,52,57.0,22,19,18.0,12,13,9,13,7,1483,307,3,2,Medium,Medium,1,71,53,56,63,23,41,3,54,54,54,59,57,57,57,59,57,57,57,58,51,51,51,58,43,39,39,39,43,40,33,33,33,40,15,59
I. Kabore,19,RB,RB,180.34,69.3,Right,15,1800000.0,3000,0.0,68,21,55,63,22.0,61,31.0,29,63,64,91,89,83.0,63,73.0,42,83.0,73,66,26,75,56.0,38.0,48.0,24,53.0,53,64,66.0,10,8,9,14,13,1644,368,2,2,High,Medium,1,90,27,58,65,58,70,102,50,50,50,59,54,54,54,59,56,56,56,62,58,58,58,62,66,62,62,62,66,66,63,63,63,66,17,68
F. Madrigal,28,CM,CM,175.26,69.3,Right,0,450000.0,3000,743000.0,64,60,53,65,51.0,62,62.0,63,64,64,66,69,65.0,59,67.0,56,60.0,72,63,58,66,62.0,65.0,65.0,68,56.0,64,64,63.0,11,13,12,13,6,1815,382,4,2,Low,High,1,68,59,64,63,62,66,3,61,61,61,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,62,62,62,64,16,64
Bolaño,34,LB,,182.88,76.5,Left,0,275000.0,4000,440000.0,65,52,67,62,46.0,56,58.0,59,61,59,62,63,61.0,65,73.0,70,75.0,72,71,51,77,67.0,59.0,48.0,54,66.0,66,67,66.0,16,7,16,8,7,1806,377,2,2,Medium,High,1,63,56,59,59,67,73,3,60,60,60,59,58,58,58,59,57,57,57,60,60,60,60,60,65,65,65,65,65,65,67,67,67,65,16,67
A. Negrea,21,LB,LB,175.26,66.60000000000001,Left,10,150000.0,750,233000.0,48,28,47,46,22.0,51,41.0,33,32,44,82,80,72.0,50,71.0,28,58.0,53,49,26,51,52.0,43.0,39.0,33,42.0,53,57,58.0,9,7,11,6,13,1393,308,2,2,Medium,Medium,1,81,28,42,52,54,51,3,43,43,43,49,46,46,46,49,46,46,46,49,44,44,44,49,54,49,49,49,54,55,53,53,53,55,13,57
E. Álvarez,22,CDM,CDM CB,187.96,72.45,Right,7,10000000.0,13000,16000000.0,64,50,77,74,63.0,64,40.0,40,74,73,68,68,67.0,73,66.0,67,75.0,82,80,40,78,75.0,55.0,62.0,65,70.0,72,76,77.0,7,11,10,7,6,1906,410,4,2,Medium,High,1,68,53,66,68,75,80,243,64,64,64,64,64,64,64,64,65,65,65,67,69,69,69,67,73,75,75,75,73,74,75,75,75,74,15,76
A. Ciobanu,22,CAM,CAM CM,175.26,67.5,Right,9,1400000.0,4000,2200000.0,65,62,56,67,56.0,66,43.0,68,65,67,76,72,85.0,69,78.0,68,65.0,73,67,65,43,42.0,66.0,68.0,57,66.0,33,47,38.0,8,14,10,15,12,1786,377,3,3,Medium,Medium,1,74,63,65,69,42,64,6,65,65,65,68,67,67,67,68,68,68,68,68,65,65,65,68,58,56,56,56,58,56,50,50,50,56,18,68
J. Cristaldo,31,ST,ST,175.26,72.45,Right,0,2100000.0,13000,2900000.0,59,71,72,66,70.0,74,68.0,48,51,72,72,75,77.0,70,74.0,75,61.0,70,70,68,75,34.0,70.0,66.0,65,76.0,15,23,21.0,13,13,16,12,9,1795,380,4,3,High,Medium,1,74,71,62,74,28,71,4,71,71,71,70,71,71,71,70,69,69,69,69,63,63,63,69,52,50,50,50,52,49,45,45,45,49,18,71
L. Czyborra,21,LWB,LB,177.8,71.55,Left,10,1500000.0,5000,0.0,67,32,48,62,30.0,68,69.0,66,56,69,86,85,81.0,64,63.0,80,60.0,82,64,57,67,68.0,62.0,47.0,33,64.0,57,64,62.0,6,12,9,8,7,1791,392,3,2,High,Medium,1,85,48,60,69,61,69,35,60,60,60,64,62,62,62,64,62,62,62,65,62,62,62,65,68,64,64,64,68,67,62,62,62,67,14,69
E. Domaschke,34,GK,GK,187.96,85.5,Right,0,200000.0,650,290000.0,11,10,13,23,10.0,19,10.0,12,22,22,36,40,41.0,63,53.0,48,62.0,24,69,12,29,13.0,15.0,46.0,22,38.0,8,15,10.0,65,64,64,61,63,1075,355,2,1,Medium,Medium,1,65,64,64,63,38,61,3,27,27,27,25,27,27,27,25,28,28,28,26,27,27,27,26,22,24,24,24,22,21,24,24,24,21,63,64
L. Hemmerich,22,RB,RB RM,180.34,69.3,Right,11,1000000.0,4000,1800000.0,63,49,55,62,44.0,63,70.0,57,58,65,75,79,65.0,61,67.0,78,70.0,85,68,51,77,54.0,58.0,59.0,56,55.0,51,60,62.0,9,9,10,9,14,1813,388,2,2,High,High,1,77,56,61,64,56,74,15,61,61,61,62,62,62,62,62,61,61,61,64,61,61,61,64,64,62,62,62,64,64,61,61,61,64,16,66
M. Diop,32,ST,ST,187.96,84.15,Right,0,2500000.0,26000,4300000.0,61,73,83,63,66.0,70,52.0,58,55,66,66,70,65.0,70,67.0,72,81.0,78,86,65,51,46.0,71.0,66.0,67,69.0,31,46,31.0,13,14,6,6,11,1826,388,3,3,Medium,Low,1,68,70,61,68,44,77,4,72,72,72,68,69,69,69,68,67,67,67,67,64,64,64,67,57,55,55,55,57,55,55,55,55,55,17,72
R. Cabrera,31,CB,CB,187.96,78.3,Right,0,150000.0,500,323000.0,38,34,59,45,35.0,34,40.0,25,37,38,37,52,33.0,55,37.0,42,75.0,60,83,33,57,58.0,27.0,25.0,40,45.0,52,65,63.0,12,8,13,7,12,1331,284,3,2,Medium,Medium,1,45,35,37,36,59,72,3,42,42,42,37,38,38,38,37,37,37,37,39,41,41,41,39,51,52,52,52,51,53,60,60,60,53,15,60
C. Aboagye,25,CAM,CM,165.1,54.45,Right,5,3100000.0,13000,5500000.0,66,51,42,78,54.0,74,73.0,62,75,77,77,76,86.0,68,92.0,68,31.0,68,36,66,52,56.0,60.0,75.0,68,65.0,54,51,48.0,8,10,13,7,7,1829,385,3,3,Medium,Medium,1,76,59,74,77,52,47,15,62,62,62,71,69,69,69,71,72,72,72,71,71,71,71,71,65,63,63,63,65,62,53,53,53,62,15,71
J. Rowe,18,RB,RB,175.26,68.4,Right,17,130000.0,800,309000.0,47,22,38,38,28.0,48,28.0,32,28,45,68,63,58.0,53,62.0,23,64.0,61,58,21,47,50.0,48.0,39.0,35,51.0,49,55,51.0,5,9,9,11,13,1306,283,2,2,Medium,Medium,1,65,24,38,49,50,57,5,40,40,40,45,43,43,43,45,43,43,43,47,42,42,42,47,51,47,47,47,51,52,50,50,50,52,14,54
K. Nsona,18,RM,RM,187.96,73.35000000000001,Right,21,200000.0,500,550000.0,55,57,33,47,41.0,61,47.0,36,33,61,86,79,56.0,39,55.0,70,35.0,36,66,36,34,24.0,47.0,48.0,55,45.0,20,30,23.0,10,13,11,6,13,1363,317,3,2,Medium,Low,1,82,54,46,59,25,51,10,55,55,55,57,56,56,56,57,53,53,53,55,45,45,45,55,43,37,37,37,43,41,35,35,35,41,14,56
D. González,24,LB,LB,182.88,68.4,Left,2,400000.0,3000,710000.0,60,41,55,60,33.0,57,40.0,39,59,57,70,75,66.0,55,60.0,54,55.0,58,60,41,57,58.0,30.0,54.0,47,53.0,60,63,60.0,14,13,7,11,7,1576,350,3,2,Medium,High,1,73,43,57,58,60,59,3,51,51,51,55,52,52,52,55,54,54,54,56,55,55,55,56,60,59,59,59,60,61,59,59,59,61,16,63
Dani Jiménez,30,GK,GK,177.8,71.55,Right,0,2100000.0,6000,3300000.0,30,13,13,34,20.0,12,24.0,10,21,20,49,55,66.0,70,44.0,49,77.0,40,58,10,29,25.0,15.0,54.0,25,47.0,16,13,12.0,73,69,65,69,75,1255,403,3,1,Medium,Medium,1,73,69,65,75,52,69,4,29,29,29,30,30,30,30,30,32,32,32,32,31,31,31,32,30,29,29,29,30,29,27,27,27,29,71,72
J. Kjær,31,ST,ST,172.72,70.65,Right,0,575000.0,4000,719000.0,49,64,50,54,61.0,69,52.0,41,50,66,91,84,88.0,69,87.0,64,84.0,69,69,59,76,16.0,62.0,51.0,56,63.0,18,14,21.0,13,15,9,14,11,1696,362,3,2,High,Medium,1,87,62,51,71,20,71,3,65,65,65,66,65,65,65,66,63,63,63,64,55,55,55,64,47,43,43,43,47,44,39,39,39,44,19,66
M. Figueroa,37,CB,CB LB,180.34,84.15,Left,0,210000.0,3000,305000.0,62,49,70,64,57.0,53,59.0,72,63,59,53,49,59.0,65,63.0,81,71.0,60,74,65,68,70.0,42.0,55.0,64,66.0,66,73,68.0,11,9,10,15,10,1809,368,2,2,Medium,Medium,2,51,59,62,57,70,69,11,59,59,59,56,56,56,56,56,57,57,57,56,60,60,60,56,63,66,66,66,63,64,69,69,69,64,17,69
A. Valencia,33,RB,RB CDM,180.34,82.35000000000001,Right,0,4000000.0,500,8600000.0,76,59,59,75,64.0,77,69.0,66,68,80,76,75,68.0,80,77.0,85,68.0,73,77,66,80,80.0,65.0,66.0,55,80.0,76,77,75.0,16,11,10,7,7,2063,441,2,3,Medium,Medium,2,75,66,72,77,75,76,34,71,71,71,73,73,73,73,73,72,72,72,74,73,73,73,74,77,76,76,76,77,76,75,75,75,76,18,77
Josep Señé,28,CAM,CAM CM LM,182.88,71.55,Right,0,775000.0,3000,0.0,64,64,61,70,46.0,67,63.0,60,66,66,61,69,62.0,69,59.0,48,53.0,43,58,65,46,56.0,69.0,70.0,61,61.0,35,49,56.0,14,16,7,13,10,1716,358,3,3,Medium,Medium,1,65,60,67,66,48,52,7,63,63,63,67,66,66,66,67,67,67,67,66,65,65,65,66,58,58,58,58,58,57,54,54,54,57,19,67
J. Soule,19,ST,ST,172.72,57.6,Right,17,275000.0,7000,722000.0,43,66,55,55,48.0,57,42.0,37,37,55,67,77,76.0,59,88.0,56,54.0,54,32,58,31,18.0,56.0,54.0,60,55.0,16,23,17.0,6,12,11,10,13,1443,303,3,2,Medium,Medium,1,73,61,48,60,23,38,7,58,58,58,59,59,59,59,59,57,57,57,56,50,50,50,56,42,37,37,37,42,40,32,32,32,40,16,58
M. Stefaniak,25,RM,LM LW,177.8,75.60000000000001,Right,2,775000.0,3000,0.0,67,60,40,65,55.0,68,81.0,72,41,67,83,69,79.0,59,77.0,69,69.0,67,60,61,41,27.0,60.0,60.0,64,60.0,30,25,26.0,13,11,15,7,10,1698,355,4,3,Medium,Medium,1,75,62,62,69,29,58,9,62,62,62,66,64,64,64,66,64,64,64,65,57,57,57,65,52,46,46,46,52,48,40,40,40,48,16,66
Q. Cornette,26,RM,RM,172.72,74.25,Right,1,1100000.0,4000,2000000.0,63,63,60,65,55.0,71,65.0,59,61,70,87,75,85.0,58,73.0,74,60.0,50,57,62,69,49.0,67.0,61.0,72,63.0,37,48,40.0,9,11,10,10,15,1811,383,2,3,High,Medium,1,80,65,63,72,45,58,5,66,66,66,68,68,68,68,68,67,67,67,67,62,62,62,67,57,55,55,55,57,55,52,52,52,55,16,68
L. Wallace,32,LB,,185.42,74.25,Left,0,550000.0,4000,1000000.0,63,50,59,65,37.0,64,55.0,33,57,70,64,66,68.0,64,68.0,58,80.0,75,76,47,62,67.0,59.0,55.0,58,69.0,60,69,68.0,14,6,8,11,9,1765,379,3,3,High,High,1,65,51,59,66,65,73,3,60,60,60,62,61,61,61,62,61,61,61,63,63,63,63,63,67,66,66,66,67,66,66,66,66,66,16,68
C. Adam,33,CM,CM CDM,185.42,82.35000000000001,Left,0,450000.0,8000,855000.0,79,62,66,70,72.0,65,82.0,77,74,71,37,34,46.0,61,53.0,81,81.0,33,73,71,85,56.0,63.0,72.0,78,62.0,61,57,54.0,8,7,9,6,6,1850,367,3,3,Medium,Low,2,35,69,74,64,59,66,11,64,64,64,63,64,64,64,63,65,65,65,63,66,66,66,63,58,63,63,63,58,57,63,63,63,57,13,67
N. Phillips,23,CB,CB,190.5,83.25,Right,7,1100000.0,22000,2300000.0,30,23,71,68,30.0,37,29.0,35,56,50,51,51,44.0,63,56.0,45,65.0,64,79,21,65,66.0,25.0,39.0,45,59.0,67,71,70.0,9,6,6,12,10,1459,314,3,2,Medium,Medium,1,51,29,49,44,69,72,68,45,45,45,42,43,43,43,42,45,45,45,46,52,52,52,46,58,64,64,64,58,61,68,68,68,61,15,68
S. Handle,27,LM,LM RM RB,170.18,67.5,Right,0,675000.0,2000,979000.0,59,62,47,59,48.0,70,62.0,47,46,63,86,79,90.0,62,86.0,64,70.0,75,51,57,53,48.0,59.0,58.0,48,51.0,32,51,50.0,13,11,8,11,13,1738,370,3,2,High,Medium,1,82,60,56,70,44,58,4,62,62,62,66,64,64,64,66,63,63,63,65,59,59,59,65,59,53,53,53,59,57,50,50,50,57,17,66
C. Jong-A-Pin,33,CB,CB LB,182.88,77.4,Left,0,210000.0,1000,263000.0,60,24,53,52,27.0,58,31.0,18,48,60,72,75,65.0,67,57.0,62,63.0,71,74,24,73,66.0,43.0,59.0,36,65.0,63,64,65.0,16,11,9,12,14,1592,355,2,2,Medium,Medium,1,74,33,52,60,63,73,6,51,51,51,55,53,53,53,55,54,54,54,57,55,55,55,57,64,62,62,62,64,64,64,64,64,64,19,64
Diogildo Peixe,20,RW,CAM ST,180.34,70.65,Right,0,1200000.0,5000,2300000.0,71,61,61,67,72.0,77,45.0,55,56,71,71,72,83.0,66,81.0,71,54.0,62,61,67,45,34.0,61.0,71.0,66,62.0,10,24,23.0,10,12,7,10,7,1704,360,4,3,High,Low,1,72,65,65,75,25,58,4,66,66,66,70,68,68,68,70,69,69,69,69,63,63,63,69,52,48,48,48,52,48,40,40,40,48,16,69
I. Someno,18,ST,ST,177.8,66.60000000000001,Right,14,325000.0,750,609000.0,57,62,57,60,59.0,48,60.0,53,59,58,68,69,62.0,52,67.0,62,73.0,46,62,60,55,21.0,56.0,38.0,58,53.0,22,22,14.0,9,11,7,9,7,1523,321,4,2,High,Low,1,69,61,55,54,25,57,4,59,59,59,57,56,56,56,57,55,55,55,56,50,50,50,56,42,42,42,42,42,40,38,38,38,40,14,59
